date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2010-06-29,18.9999,24.9999,17.5401,23.8899,18783278,1.5927,,
2010-06-30,25.7901,30.4191,23.3001,23.8299,17194392,1.5887,-0.25,
2010-07-01,24.9999,25.92,20.2701,21.96,8229862,1.464,-7.85,
2010-07-02,23.0001,23.1,18.7101,19.2,5141806,1.28,-12.57,
2010-07-06,20.0001,20.0001,15.8301,16.11,6879295,1.074,-16.09,
2010-07-07,16.4001,16.6299,14.9799,15.8001,6924913,1.0533,-1.93,
2010-07-08,16.14,17.52,15.57,17.46,7719539,1.164,10.51,
2010-07-09,17.58,17.9001,16.5501,17.4,4058605,1.16,-0.34,
2010-07-12,17.9499,18.0699,17.0001,17.0499,2203569,1.1367,-2.01,
2010-07-13,17.394,18.6399,16.8999,18.1401,2680059,1.2093,6.39,
2010-07-14,17.94,20.1501,17.76,19.8399,4196109,1.3227,9.38,
2010-07-15,19.9401,21.5001,18.9999,19.89,3745296,1.326,0.25,
2010-07-16,20.7,21.3,20.0499,20.64,2621209,1.376,3.77,
2010-07-19,21.3699,22.2501,20.9199,21.9099,2486488,1.4607,6.16,
2010-07-20,21.8499,21.8499,20.0499,20.3001,1825230,1.3533,-7.35,
2010-07-21,20.6601,20.9001,19.5,20.22,1253441,1.348,-0.39,
2010-07-22,20.4999,21.2499,20.37,21.0,962344,1.4,3.86,
2010-07-23,21.1899,21.5601,21.06,21.2901,654049,1.4193,1.38,
2010-07-26,21.5001,21.5001,20.3001,20.9499,922452,1.3967,-1.59,
2010-07-27,20.91,21.18,20.2599,20.55,619675,1.37,-1.91,74326218.5
2010-07-28,20.55,20.9001,20.5101,20.7201,467183,1.3813,0.82,60589147.1
2010-07-29,20.7699,20.88,20.0001,20.3499,615910,1.3567,-1.78,48155285.4
2010-07-30,20.1999,20.4399,19.5501,19.9401,426830,1.3293,-2.02,42303010.9
2010-08-02,20.4999,20.97,20.3331,20.9199,719145,1.3947,4.92,38986014.55
2010-08-03,21.0,21.9501,20.82,21.9501,1231022,1.4633,4.92,34749810.0
2010-08-04,21.9501,22.1799,20.85,21.2601,920755,1.4173,-3.14,30246691.7
2010-08-05,21.54,21.5499,20.0499,20.4501,796379,1.3633,-3.81,25054321.9
2010-08-06,20.1,20.16,19.5201,19.59,742138,1.306,-4.2,22566971.05
2010-08-09,19.8999,19.98,19.4499,19.5999,812655,1.3067,0.05,21523785.55
2010-08-10,19.65,19.65,18.8199,19.0299,1281285,1.2687,-2.91,20474705.1
2010-08-11,18.69,18.8799,17.85,17.9001,797649,1.1933,-5.94,17925860.2
2010-08-12,17.7999,17.9001,17.3901,17.6001,691281,1.1733,-1.68,15635348.3
2010-08-13,18.18,18.45,17.6604,18.3201,634513,1.2213,4.09,14145325.65
2010-08-16,18.45,18.8001,18.2616,18.78,486211,1.252,2.51,12645117.25
2010-08-17,18.96,19.4001,18.78,19.1499,447881,1.2767,1.97,11612104.8
2010-08-18,19.59,19.59,18.6,18.7701,601332,1.2513,-1.99,11123022.35
2010-08-19,18.54,19.2501,18.33,18.7899,579082,1.2527,0.11,10835575.15
2010-08-20,18.6501,19.11,18.51,19.1001,297499,1.2733,1.64,10568162.65
2010-08-23,19.0899,20.3892,18.9999,20.13,1088028,1.342,5.4,10692344.65
2010-08-24,19.2501,19.71,18.9501,19.2,673074,1.28,-4.62,10732393.9
2010-08-25,19.1601,19.98,18.5601,19.8999,503289,1.3267,3.65,10759473.4
2010-08-26,19.89,20.2701,19.5999,19.7499,433736,1.3167,-0.75,10622842.9
2010-08-27,19.7499,19.8651,19.5,19.7001,379642,1.3133,-0.26,10587451.9
2010-08-30,19.7001,20.19,19.6101,19.8699,732731,1.3247,0.87,10597641.4
2010-08-31,19.6599,19.7901,19.3299,19.4799,201012,1.2987,-1.96,9825133.2
2010-09-01,19.62,20.6901,19.5999,20.4501,495685,1.3633,4.97,9506330.0
2010-09-02,20.37,21.24,20.3103,21.06,487060,1.404,2.99,9274340.05
2010-09-03,20.8701,21.3,20.6601,21.0501,434756,1.4033,-0.05,9043803.55
2010-09-07,20.61,21.0,20.4999,20.5401,243335,1.3693,-2.42,8616812.85
2010-09-08,20.6601,20.9499,20.6001,20.9001,288382,1.3933,1.75,7872134.9
2010-09-09,21.0,21.0501,20.6901,20.7099,376197,1.3807,-0.9,7556045.2
2010-09-10,20.7501,20.9301,19.7601,20.1699,386571,1.3447,-2.61,7327512.7
2010-09-13,20.8899,20.8995,20.4999,20.7201,360703,1.3813,2.72,7122155.2
2010-09-14,20.5401,21.6,20.5299,21.12,654629,1.408,1.93,7248468.7
2010-09-15,20.9799,21.9999,20.79,21.9801,684758,1.4653,4.07,7426126.45
2010-09-16,22.1499,23.16,20.8401,20.94,2685879,1.396,-4.73,8989537.35
2010-09-17,21.0201,21.3201,19.8,20.2299,1198457,1.3487,-3.39,9454069.3
2010-09-20,20.67,21.3501,20.16,21.0549,947474,1.4037,4.08,9941551.25
2010-09-21,20.8899,21.5499,20.67,20.7699,795999,1.3847,-1.35,9722529.5
2010-09-22,20.8701,20.9499,19.8,19.8699,962815,1.3247,-4.33,9939835.95
2010-09-23,19.89,20.1399,19.5,19.56,668076,1.304,-1.56,10063426.2
2010-09-24,19.95,20.19,19.65,20.1,578987,1.34,2.76,10172364.45
2010-09-27,20.4,20.8101,20.0499,20.5299,418597,1.3687,2.14,10201580.7
2010-09-28,21.0399,21.4899,20.76,21.3999,1214464,1.4267,4.24,10562881.15
2010-09-29,21.1899,22.0299,21.1299,21.9801,1969456,1.4653,2.71,11889214.85
2010-09-30,21.9999,22.1499,20.19,20.4051,2196624,1.3603,-7.17,13164919.8
2010-10-01,20.6901,20.7501,20.31,20.6001,599071,1.3733,0.96,13248928.05
2010-10-04,20.43,21.1701,20.3001,20.9901,643599,1.3993,1.89,13405560.3
2010-10-05,21.15,21.2799,21.0099,21.12,331936,1.408,0.62,13472011.05
2010-10-06,21.06,21.258,20.3199,20.46,313552,1.364,-3.12,13490888.55
2010-10-07,20.5701,20.64,20.34,20.43,141020,1.362,-0.15,13314505.8
2010-10-08,20.43,20.79,20.3901,20.43,268110,1.362,0.0,13225660.05
2010-10-11,20.4399,20.6991,20.07,20.2401,171194,1.3493,-0.93,13083528.3
2010-10-12,20.1999,20.283,20.0301,20.2401,243912,1.3493,0.0,12775490.55
2010-10-13,20.64,20.85,20.3601,20.5401,320541,1.3693,1.48,12502327.8
2010-10-14,21.0,21.03,20.4,20.7501,294620,1.3833,1.02,10708882.9
2010-10-15,20.8899,20.9001,20.25,20.5401,284840,1.3693,-1.01,10023669.45
2010-10-18,20.52,20.64,20.22,20.2299,162729,1.3487,-1.5,9435110.0
2010-10-19,20.1999,20.406,20.0001,20.0499,245127,1.3367,-0.89,9021955.3
2010-10-20,20.16,20.6901,20.04,20.6499,312444,1.3767,2.99,8534176.35
2010-10-21,20.61,20.9499,20.4501,20.7501,417999,1.3833,0.48,8346618.6
2010-10-22,20.6799,20.9301,20.55,20.7201,161021,1.3813,-0.14,8033144.1
2010-10-25,20.94,20.9799,20.73,20.85,118614,1.39,0.63,7808156.85
2010-10-26,20.7999,21.87,20.5101,21.36,660841,1.424,2.45,7392938.9
2010-10-27,21.2499,21.3801,20.6499,21.0,356500,1.4,-1.69,6183221.2
2010-10-28,21.39,21.5001,20.9601,21.1899,224190,1.4127,0.91,4703895.0
2010-10-29,21.1401,21.8499,21.0519,21.84,280682,1.456,3.07,4465103.25
2010-11-01,21.9399,22.7499,21.3099,21.4101,455784,1.4273,-1.97,4324242.0
2010-11-02,21.6801,21.8793,21.0501,21.2499,322465,1.4167,-0.74,4317138.75
2010-11-03,21.2799,22.5,21.1599,21.7701,374199,1.4513,2.44,4362624.0
